ID_DOI,Latitude,Longitude,Multispecies study (y/n),yrstart,yrend,Significant trend (y/blank),r or r2 value reported (y/blank),Species,Time Series Type ,Position,Abundance Change,Hemisphere,Sampling,Functional group,Timespan,full.ref
1095,30,-86.5,y,1971,2006,,,Abudefduf saxatilis,Irregular,1,Positive,N,Irregular,Fish,36,"Fodrie, F.J., K.L. Heck, S.P. Powers, W.M. Graham and K.L. Robinson. 2010. Climate-related, decadal-scale assemblage changes of seagrass-associated fishes in the northern Gulf of Mexico. Global Change Biology 16: 48-59"
2051,36.62,-121.91,y,1931,1996,y,,Acanthinucella punctulata,Irregular,0.74104,Positive,N,Irregular,Invertebrates,66,"Sagarin, R. D., J. P. Barry, S. E. Gilman, and C. H. Baxter. 1999. Climate-related change in an intertidal community over short and long time scales. Ecological Monographs 69:465-490"
1088,41.5,-71.35,n,1951,2003,y,,Acartia tonsa,Irregular,0.65809,Negative,N,Irregular,Zooplankton,53,"Costello, J.H, B.K. Sullivan and D.J. Gifford. 2006. A physical-biological interaction underlying variable phenological responses to climate change by coastal zooplankton. Journal of Plankton Research 28:1099-1105"
2116,-42,148.3,y,1880,2010,,,Achoerodus viridis ,Irregular,1,Negative,S,Irregular,Fish,131,"Last, P.R., W.T. White, D.C. Gledhill, A.J. Hobday, R. Brown, G.J. Edgar and G. Pecl. 2010. Long-term shifts in abundance and distribution of a temperate fish fauna: a response to climate change and fishing practices. Global Ecology and Biogeography."
1033,51.42,3.58,y,1970,2006,y,,Agonus cataphractus,Time series,0.07841,Negative,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1033,52.9,4.6,y,1970,2006,,,Agonus cataphractus,Time series,0.25109,Negative,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1033,53.15,5.15,y,1970,2006,,,Agonus cataphractus,Time series,0.28026,Negative,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1012,51.9,-10.5,y,1958,2003,y,,Alaria esculenta,Two point,0.30652,Negative,N,Twopoint,Macroalgae,46,"Simkanin, C., A. Power, A. Myers, D. McGrath, A. Southward, N. Mieszkowska, R. Leaper, and R. O'Riordan. 2005. Using historical data to detect temporal changes in the abundances of intertidal species on Irish shores. Journal of the Marine Biological Assoc"
2051,36.62,-121.91,y,1931,1996,y,,Amphissa versicolor,Irregular,0.18082,Negative,N,Irregular,Invertebrates,66,"Sagarin, R. D., J. P. Barry, S. E. Gilman, and C. H. Baxter. 1999. Climate-related change in an intertidal community over short and long time scales. Ecological Monographs 69:465-490"
1082,43.67,-6.06,n,1960,2005,,,Anguilla anguilla,Time series,0.35883,Negative,N,Timeseries,Fish,46,"Bonhommeau, S., E. Chassot and E. Rivot. 2008. Fluctuations in European eel (Anguilla anguilla) recruitment resulting from environmental changes in the Sargasso Sea. Fisheries Oceanography 17: 32-44"
1081,46.5,-3,y,1960,2005,y,y,Anguilla anguilla,Time series,0.46707,Negative,N,Timeseries,Fish,46,"Bonhommeau, S., E. Chassot, B. Planque, E. Rivot, A.H. Knap and O. Le Pape. 2008. Impact of climate on eel populations of the Northern Hemisphere. Marine Ecology Progress Series 373: 71-80"
1082,47.3,-2.24,n,1971,2005,,,Anguilla anguilla,Time series,0.49767,Negative,N,Timeseries,Fish,35,"Bonhommeau, S., E. Chassot and E. Rivot. 2008. Fluctuations in European eel (Anguilla anguilla) recruitment resulting from environmental changes in the Sargasso Sea. Fisheries Oceanography 17: 32-44"
2046,51.21,-3.12,y,1981,2008,,,Anguilla anguilla,Time series,0.64722,Negative,N,Timeseries,Fish,28,"Henderson, P. and D. Bird. 2010. Fish and macro-crustacean communities and their dynamics in the Severn Estuary. Marine Pollution Bulletin 61: 100-114."
1082,51.4,3.05,n,1964,2005,,,Anguilla anguilla,Time series,0.65448,Negative,N,Timeseries,Fish,42,"Bonhommeau, S., E. Chassot and E. Rivot. 2008. Fluctuations in European eel (Anguilla anguilla) recruitment resulting from environmental changes in the Sargasso Sea. Fisheries Oceanography 17: 32-44"
1033,51.42,3.58,y,1970,2006,,,Anguilla anguilla,Time series,0.65525,Negative,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1082,52.57,4.36,n,1969,2005,,,Anguilla anguilla,Time series,0.69923,Negative,N,Timeseries,Fish,37,"Bonhommeau, S., E. Chassot and E. Rivot. 2008. Fluctuations in European eel (Anguilla anguilla) recruitment resulting from environmental changes in the Sargasso Sea. Fisheries Oceanography 17: 32-44"
1022,52.93,5.05,n,1952,1995,,,Anguilla anguilla,Time series,0.713,Negative,N,Timeseries,Fish,44,"Knights, B. 2003. A review of the possible impacts of long-term oceanic and climate changes and fishing mortality on recruitment of anguillid eels of the Northern Hemisphere. The Science of the Total Environment 310: 237-244"
1082,52.56,5.03,n,1960,2005,,,Anguilla anguilla,Time series,0.69885,Negative,N,Timeseries,Fish,46,"Bonhommeau, S., E. Chassot and E. Rivot. 2008. Fluctuations in European eel (Anguilla anguilla) recruitment resulting from environmental changes in the Sargasso Sea. Fisheries Oceanography 17: 32-44"
1082,53.2,3.5,n,1960,1999,,,Anguilla anguilla,Time series,0.72333,Negative,N,Timeseries,Fish,40,"Bonhommeau, S., E. Chassot and E. Rivot. 2008. Fluctuations in European eel (Anguilla anguilla) recruitment resulting from environmental changes in the Sargasso Sea. Fisheries Oceanography 17: 32-44"
1033,53.15,5.15,y,1970,2006,,,Anguilla anguilla,Time series,0.72142,Negative,N,Timeseries,Fish,37,"Tulp, I., Bolle, L.J. and A.D. Rijnsdorp. 2008. Signals from the shallows: In search of common patterns in long-term trends in Dutch estuarine and coastal fish. Journal of Sea Research. 60: 54-73"
1081,34,137,y,1965,2001,y,y,Anguilla japonica,Time series,1,Negative,N,Timeseries,Fish,37,"Bonhommeau, S., E. Chassot, B. Planque, E. Rivot, A.H. Knap and O. Le Pape. 2008. Impact of climate on eel populations of the Northern Hemisphere. Marine Ecology Progress Series 373: 71-80"
1081,65,-67,y,1974,2001,y,y,Anguilla rostrata,Time series,1,Negative,N,Timeseries,Fish,28,"Bonhommeau, S., E. Chassot, B. Planque, E. Rivot, A.H. Knap and O. Le Pape. 2008. Impact of climate on eel populations of the Northern Hemisphere. Marine Ecology Progress Series 373: 71-80"
2051,36.62,-121.91,y,1931,1996,y,,Anthopleura elegantissima,Irregular,0.19699,Negative,N,Irregular,Invertebrates,66,"Sagarin, R. D., J. P. Barry, S. E. Gilman, and C. H. Baxter. 1999. Climate-related change in an intertidal community over short and long time scales. Ecological Monographs 69:465-490"
2051,36.62,-121.91,y,1931,1996,y,,Anthopleura elegantissima,Irregular,0.19699,Positive,N,Irregular,Invertebrates,66,"Sagarin, R. D., J. P. Barry, S. E. Gilman, and C. H. Baxter. 1999. Climate-related change in an intertidal community over short and long time scales. Ecological Monographs 69:465-490"
2051,36.62,-121.91,y,1931,1996,y,,Anthopleura xanthogrammica,Irregular,0.14813,Negative,N,Irregular,Invertebrates,66,"Sagarin, R. D., J. P. Barry, S. E. Gilman, and C. H. Baxter. 1999. Climate-related change in an intertidal community over short and long time scales. Ecological Monographs 69:465-490"
2116,-42,148.3,y,1880,2010,,,Aplodactylus lophodon,Irregular,1,Positive,S,Irregular,Fish,131,"Last, P.R., W.T. White, D.C. Gledhill, A.J. Hobday, R. Brown, G.J. Edgar and G. Pecl. 2010. Long-term shifts in abundance and distribution of a temperate fish fauna: a response to climate change and fishing practices. Global Ecology and Biogeography."
1095,30,-86.5,y,1971,2006,,,Apogon townsendi,Irregular,1,Negative,N,Irregular,Fish,36,"Fodrie, F.J., K.L. Heck, S.P. Powers, W.M. Graham and K.L. Robinson. 2010. Climate-related, decadal-scale assemblage changes of seagrass-associated fishes in the northern Gulf of Mexico. Global Change Biology 16: 48-59"
2130,-29.42,31.32,y,1989,2007,y,,Aprion virescens,Irregular,0.93942,Positive,S,Irregular,Fish,19,"Lloyd, P., S. Weeks, M. Magno-Canto, G. Plaganyi and E. Plaganyi. 2010 Ocean warming alters species abundance patterns and increases species richness in an African sub-tropical reef-fish community. Fisheries Oceanography 21: 78-94"
